ID,Reached number 1,Artist,Single,Label,Weeks at number 1
527,"January 15, 1983",Men at Work,Down Under,Columbia,4
528,"February 5, 1983",Toto,Africa,Columbia,1
529,"February 19, 1983","Patti Austin, James Ingram","Baby, Come to Me",Qwest,2
530,"March 5, 1983",Michael Jackson,Billie Jean,Epic,7
531,"April 23, 1983",Dexys Midnight Runners,Come On Eileen,Mercury,1
532,"April 30, 1983",Michael Jackson,Beat It,Epic,3
533,"May 21, 1983",David Bowie,Let's Dance,EMI America,1
534,"May 28, 1983",Irene Cara,Flashdance... What a Feeling,Casablanca,6
535,"July 9, 1983",The Police ,Every Breath You Take (1983),A&M,8
536,"September 3, 1983",Eurythmics,Sweet Dreams (Are Made of This),RCA,1
537,"September 10, 1983",Michael Sembello,Maniac,Casablanca,2
538,"September 24, 1983",Billy Joel,Tell Her About It,Columbia,1
539,"October 1, 1983",Bonnie Tyler,,Columbia,4
540,"October 29, 1983","Kenny Rogers, Dolly Parton",Islands in the Stream,RCA,2
541,"November 12, 1983",Lionel Richie,All Night Long (All Night),Motown,4
542,"December 10, 1983","Paul McCartney, Michael Jackson","Say, Say, Say",Columbia,6
,,,,,
543,"January 21, 1984",Yes,Owner of a Lonely Heart,Atco,2
544,"February 4, 1984",Culture Club,Karma Chameleon,Virgin/Epic,3
545,"February 25, 1984",Van Halen,Jump,Warner Bros.,5
546,"March 31, 1984",Kenny Loggins,Footloose,Columbia,3
547,"April 21, 1984",Phil Collins,Against All Odds (Take a Look at Me Now),Atlantic,3
548,"May 12, 1984",Lionel Richie,Hello,Motown,2
549,"May 26, 1984",Deniece Williams,Let's Hear It for the Boy,Columbia,2
550,"June 9, 1984",Cyndi Lauper,Time After Time,Portrait,2
551,"June 23, 1984",Duran Duran,The Reflex,Capitol,2
552,"July 7, 1984",Prince ,When Doves Cry (1984),Warner Brothers,5
553,"August 11, 1984","Ray Parker, Jr.",Ghostbusters,Arista,3
554,"September 1, 1984",Tina Turner,What's Love Got to Do with It,Capitol,3
555,"September 22, 1984",John Waite,Missing You,EMI America,1
556,"September 29, 1984",Prince and The Revolution,Let's Go Crazy,Warner Bros.,2
557,"October 13, 1984",Stevie Wonder,I Just Called to Say I Love You,Motown,3
558,"November 3, 1984",Billy Ocean,Caribbean Queen (No More Love on the Run),Arista,2
559,"November 17, 1984",Wham!,Wake Me Up Before You Go-Go,Columbia,3
560,"December 8, 1984",Daryl Hall and John Oates,Out of Touch,RCA,2
561,"December 22, 1984",Madonna,Like a Virgin,Warner Brothers,6
,,,,,
562,"February 2, 1985",Foreigner,I Want to Know What Love Is,Atlantic,2
563,"February 16, 1985",Wham!,Careless Whisper (1985),Columbia,3
564,"March 9, 1985",REO Speedwagon,Can't Fight This Feeling,Epic,3
565,"March 30, 1985",Phil Collins,One More Night,Atlantic,2
566,"April 13, 1985",USA for Africa,We Are the World,Columbia,4
567,"May 11, 1985",Madonna,Crazy for You,Warner Bros.,1
568,"May 18, 1985",Simple Minds,Don't You (Forget About Me),A&M,1
569,"May 25, 1985",Wham!,Everything She Wants,Columbia,2
570,"June 8, 1985",Tears for Fears,Everybody Wants to Rule the World,PolyGram,2
571,"June 22, 1985",Bryan Adams,Heaven,A&M,2
572,"July 6, 1985",Phil Collins,Sussudio,Atlantic,1
573,"July 13, 1985",Duran Duran,A View to a Kill,Capitol,2
574,"July 27, 1985",Paul Young,Everytime You Go Away,Columbia,1
575,"August 3, 1985",Tears for Fears,Shout,PolyGram,3
576,"August 24, 1985",Huey Lewis and the News,The Power of Love,Chrysalis,2
577,"September 7, 1985",John Parr,St. Elmo's Fire (Man in Motion),Atlantic,2
578,"September 21, 1985",,Money for Nothing,Warner Bros.,3
579,"October 12, 1985",Ready for the World,Oh Sheila,MCA,1
580,"October 19, 1985",a-ha,Take On Me,Warner Bros.,1
581,"October 26, 1985",Whitney Houston,Saving All My Love for You,Arista,1
582,"November 2, 1985",Stevie Wonder,Part-Time Lover,Motown,1
583,"November 9, 1985",Jan Hammer,Miami Vice Theme,MCA,1
584,"November 16, 1985",Starship,We Built This City,Grunt/RCA,2
585,"November 30, 1985","Phil Collins, Marilyn Martin",Separate Lives,Atlantic,1
586,"December 7, 1985",Mr. Mister,Broken Wings,RCA,2
587,"December 21, 1985",Lionel Richie,"Say You, Say Me",Motown,4
,,,,,
588,"January 18, 1986",Dionne Warwick ,That's What Friends Are For (1986),Arista,4
589,"February 15, 1986",Whitney Houston,How Will I Know,Arista,2
590,"March 1, 1986",Mr. Mister,Kyrie,RCA,2
591,"March 15, 1986",Starship,Sara,Grunt/RCA,1
592,"March 22, 1986",Heart,These Dreams,Capitol,1
593,"March 29, 1986",Falco,Rock Me Amadeus,A&M,3
594,"April 19, 1986",Prince and the Revolution,Kiss,Warner Bros.,2
595,"May 3, 1986",Robert Palmer,Addicted to Love,Island,1
596,"May 10, 1986",Pet Shop Boys,West End Girls,EMI,1
597,"May 17, 1986",Whitney Houston,Greatest Love of All,Arista,3
598,"June 7, 1986",Madonna,Live to Tell,Warner Bros.,1
599,"June 14, 1986","Patti LaBelle, Michael McDonald",On My Own,MCA,3
600,"July 5, 1986",Billy Ocean,There'll Be Sad Songs (To Make You Cry),Arista,1
601,"July 12, 1986",Simply Red,Holding Back the Years,Elektra,1
602,"July 19, 1986",Genesis,Invisible Touch,Atlantic,1
603,"July 26, 1986",Peter Gabriel,Sledgehammer,Warner Bros.,1
604,"August 2, 1986",Peter Cetera,Glory of Love,Warner Brothers,2
605,"August 16, 1986",Madonna,Papa Don't Preach,Warner Brothers,2
606,"August 30, 1986",Steve Winwood,Higher Love,Island,1
607,"September 6, 1986",Bananarama,Venus,London/PolyGram,1
608,,Berlin,Take My Breath Away,Columbia,1
609,"September 20, 1986",Huey Lewis and the News,Stuck with You,Chrysalis/EMI,3
610,"October 11, 1986",Janet Jackson,When I Think of You,A&M,2
611,"October 25, 1986",Cyndi Lauper,True Colors,Epic,2
612,"November 8, 1986",Boston,Amanda,MCA,2
613,"November 22, 1986",Human League,Human,A&M,1
614,"November 29, 1986",Bon Jovi,You Give Love a Bad Name,Mercury/PolyGram,1
615,"December 6, 1986","Peter Cetera, Amy Grant",The Next Time I Fall,Warner Bros.,1
616,"December 13, 1986",Bruce Hornsby & the Range,The Way It Is,RCA,1
617,"December 20, 1986",The Bangles ,Walk Like an Egyptian (1987),Columbia,4
