ID,AVERAGE of Height,AVERAGE of Weight
5,185,82
13,159,55.5
14,171,65
22,170,125
26,169,65
37,182,64
49,168,65
65,165,49
67,179,80
69,185,72
74,182,73
88,168,105
90,163,60
95,155,43
126,164,58
128,173,60
131,159,53
132,171,64
135,178,72
141,167,58
147,160,57
148,164,63
149,163,52
153,191,88
154,165,57
159,167,60
165,175,56
169,158,49
170,172,61
180,154,48
181,153,46
225,165,57
233,159,51
240,160,46
249,173,60
259,173,59
269,180,67
273,147,50
277,160,53
299,163,56
310,158,58
314,180,59
315,166,61
340,170,47
343,162,72
346,170,59
375,168,60
387,169,48
390,163,52
394,160,48
395,160,62
396,165,55
397,163,46
403,153,48
410,173,61
417,190,73
419,170,60
422,165,75
428,159,40
429,160,53
435,156,46
439,160,78
441,173,53
442,162,56
444,168,60
445,159,54
448,150,43
449,164,58
451,175,75
456,174,62
457,182,78
459,170,53
462,169,60
463,166,60
504,174,68
510,170,62
512,167,53
513,180,70
533,182,95
537,167,43
546,172,63
547,171,60
548,167,65
551,163,53
574,164,52
575,162,50
579,164,51
580,188,77
587,178,61
589,160,57
601,157,52
604,150,64
609,170,58
610,148,46
613,180,70
623,175,56
627,150,40
633,170,62
644,160,55
652,166,70
653,170,61
660,169,60
662,164,50
668,163,54
680,168,63
681,167,52
683,190,86
685,176,45
690,172,72
691,159,55
694,167,55
703,180,70
709,169,52
719,164,63
721,172,69
725,190,62
726,182,70
736,168,63
737,188,66
748,162,51
749,165,58
753,156,51
769,162,54
771,183,85
790,160,52
792,173,62
796,172,68
799,172,72
801,163,54
803,165,54
811,173,65
827,174,73
828,169,68
832,164,51
833,171,59
837,188,81
840,164,69
846,193,120
862,160,49
864,180,75
868,178,72
889,161,58
893,170,60
900,166,63
902,169,53
903,163,52
904,163,52
912,175,67
924,165,58
925,187,65
927,162,65
929,170,50
942,153,52
944,168,58
950,165,58
951,162,50
954,165,65
960,173,61
970,162,56
976,153,38
980,179,70
981,177,62
984,165,53
993,165,56
1003,162,56
1018,168,57
1019,151,52
1020,180,61
1023,170,65
1024,180,96
1030,165,64
1034,160,55
1036,192,65
1039,170,59
1043,170,58
1055,162,51
1057,182,64
1059,166,50
1060,173,64
1071,158,48
1072,164,56
1081,168,58
1084,163,54
1087,162,60
1088,180,62
1093,171,62
1094,178,70
1096,165,52
1109,148,40
1112,160,50
1115,158,51
1116,173,59
1118,170,55
1131,164,66
1133,167,66
1142,163,55
1149,170,67
1164,177,63
1166,170,61
1169,172,58
1181,168,67
1191,164,62
1196,178,76
1200,166,52
1202,176,74
1204,175,70
1205,173,66
1209,179,57
1213,163,55
1221,175,70
1232,192,80
1234,165,50
1240,172,75
1242,173,64
1254,170,67
1259,163,54
1262,167,50
1265,165,66
1266,161,53
1269,167,57
1273,170,67
1277,160,59
1278,163,75
1281,164,58
1300,170,56
1301,147,47
1304,166,56
1310,172,63
1313,172,67
1314,155,57
1316,160,50
1319,165,51
1320,170,63
1340,177,75
1345,187,68
1354,175,69
1377,160,62
1380,172,52
1392,150,63
1398,176,72
1413,170,57
1416,150,42
1419,170,53
1437,173,61
1438,178,71
1439,165,58
1443,178,85
1445,169,60
1447,176,70
1453,163,58
1455,162,54
1462,160,64
1464,168,54
1467,165,60
1477,177,60
1478,172,74
1482,172,67
1486,166,63
1490,169,61
1501,170,61
1502,173,68
1504,166,59
1514,184,80
1515,173,68
1521,166,52
1522,163,48
1527,158,50
1529,170,65
1535,167,55
1539,177,58
1544,180,67
1546,167,45
1550,163,69
1552,164,57
1559,170,56
1563,155,57
1564,164,57
1567,158,43
1571,165,59
1575,166,60
1580,150,52
1599,171,51
1603,170,58
1606,175,89
1610,185,83.5
1622,178,68
1636,170,69
1637,181,80
1639,160,55
1654,160,52
1656,163,59
1660,184,90
1661,158,53
1666,160,51
1667,159,50
1672,189,79
1680,166,55
1682,163,61
1683,191,79
1684,158,60
1688,168,62
1689,157,49
1690,178,75
1691,156,44
1696,160,49
1700,165,57
1712,148,49
1714,165,50
1719,170,55
1728,173,78
1730,183,74
1731,182,65
1732,165,58
1738,184,75
1741,172,52
1742,174,62
1743,168,60
1748,165,46
1749,159,50
1751,169,72
1752,173,53
1753,181,70
1755,155,51
1807,170,57
1826,160,57
1829,160,75
1832,162,53
1842,168,64
1845,173,58
1895,172,65
1903,170,72
1910,170,65
1922,162,60
1927,166,69
1943,160,55
1993,160,45
2021,167,60
2026,160,46
2030,155,43
2038,160,50
2040,157,45
2072,160,60
2073,149,45
2078,158,40
2082,152,45
2106,156,49
2195,155,45
2210,164,55
2215,160,55
2216,163,54
2217,179,77.5
2221,169,64
2226,182,71
2236,179,58
2247,158,50
2258,152,45
2276,166,55
2283,168,60
2287,169,57
2309,172,62
2321,174,70
2332,155,47
2334,165,59
2335,165,55
2336,163,55
2342,179,90
2350,170,60
2377,183,62
2378,165,57
2379,175,64
2388,183,76
2394,172,57
2397,164,51
2405,163,56
2408,169,47
2409,170,68
2414,169,69
2416,168,57
2423,156,52
2425,173,62
2426,172,68
2433,170,80
2442,183,75
2443,170,59
2448,186,62
2461,177,65
2463,154,49
2464,171,58
2465,172,63
2468,152,45
2490,167,67
2491,172,67
2492,171,53
2493,180,81
2494,178,73
2495,180,83
2500,169,60
2502,164,62
2513,157,50
2514,154,47
2515,168,53
2521,165,57
2522,167,70
2536,165,51
2537,171,52
2545,184,75
2546,200,85
2548,175,61
2555,165,48
2563,173,63
2564,171,60
2565,170,51
2573,162,52
2574,178,65
2575,172,58
2583,170,69
2587,177,68
2593,170,48
2594,171,50
2603,163,63
2604,180,60
2606,176,75
2616,165,59
2619,170,62
2624,164,63
2631,190,70
2634,176,68
2642,168,52
2650,162,50
2651,163,56
2672,158,48
2676,166,67
2685,176,75
2695,170,65
2701,153,52
2707,162,53
2719,160,44
2720,158,52
2727,154,60
2729,168,59
2732,173,60
2745,192,78
2749,162,60
2750,180,71
2751,195,96
2759,175,77
2762,174,48
2767,169,60
2769,185,57
2772,179,68
2779,180,60
2784,175,60
2786,176,54
2789,164,63
2793,169,53
2796,165,52
2801,170,65
2803,168,57
2807,165,91
2813,162,50
2814,169,53
2815,169,57
2824,162,57
2831,160,58
2839,188,85
2843,164,48
2849,163,53
2850,170,65
2855,170,62
2860,157,46
2862,176,70
2867,170,77
2870,170,65
2873,163,55
2875,170,59
2877,177,72
2885,178,72
2891,170,54
2895,159,51
2901,172,68
2904,173,59
2910,162,54
2912,169,54
2919,170,55
2924,160,52
2927,177,63
2929,163,59
2930,167,60
2931,163,54
2940,184,80
2952,165,53
2959,148,40
2962,158,60
2964,170,53
2965,170,69
2977,168,58
2978,181,69
2980,170,98
2990,170,62
2992,165,50
2994,162,50
3007,162,57
3023,152,46
3029,172,65
3042,168,52
3044,170,78
3048,165,60
3049,173,67
3053,173,55
3055,155,51
3063,159,73
3066,157,52
3070,180,64
3077,172,60
3081,158,50
3095,174,65
3096,157,52
3097,175,110
3099,180,72
3100,175,102
3104,168,53
3108,165,64
3117,167,58
3122,181,89
3123,157,56
3141,170,52
3142,162,45
3153,162,60
3183,164,68
3192,164,63
3198,168,61
3206,176,70
3209,169,61
3243,169,55
3258,160,50
3261,190,78
3267,155,59
3279,162,42
3281,158,44
3287,190,85
3291,161,53
3294,190,84
3295,170,69
3302,148,43
3303,165,68
3304,168,59
3305,159,54
3306,175,76
3311,184,79
3314,162,57
3326,191,63
3328,165,50
3329,170,63
3347,165,55
3358,178,78
3363,172,70
3372,174,70
3378,178,72
3391,169,64
3393,165,60
3396,152,46
3402,165,54
3409,160,55
3410,170,64
3411,168,54
3420,173,63
3423,155,47
3425,160,54
3430,164,65
3449,170,62
